CountryID,Country and area,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
36,Australia,9.88,10.37,9.95,9.39,8.87,9.23,8.07,8.15,8,7.65,7.24,7.81,7.49,7.25,7.66,7.09,6.28,6.39,7.52,9.57,9.32,11.91,13.21,11.91,13.15,14.32
40,Austria,70.52,72.03,69.13,67.79,64.74,65.51,67.19,68.55,70.7,67.2,67.51,59.33,62.25,61.04,61.91,63.42,63.91,66.13,61.48,60.63,69.57,72.57,75.61,71.04,72.15,70.25
112,Belarus,0.05,0.06,0.06,0.08,0.07,0.08,0.12,0.07,0.1,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.15,0.13,0.13,0.25,0.46,0.38,0.41,0.73,1.71
56,Belgium,1.61,1.45,1.65,1.67,1.59,1.63,1.81,1.78,2.04,2.11,1.88,1.66,2.04,2.41,2.63,2.73,3.16,3.29,3.97,5.58,8.18,10.1,12.88,15.03,12.27,13.53
100,Bulgaria,5.79,5.11,3.85,5.54,6.83,6.86,7.98,7.8,7.21,4.94,6.34,7.75,8.08,10.67,10.03,7.58,7.55,10.03,13.72,9.21,12.73,17.23,16.34,18.29,16.37,14.11
124,Canada,60.84,60.83,59.38,60.01,62.1,61.16,59.12,59.77,59.26,56.59,58.4,57.4,56.99,58.6,58.17,59.01,60.4,61.92,60.18,61.43,62.41,62.82,61.97,61.78,63.17,64.59
191,Croatia,48.85,47.57,61.95,61.27,70.38,57.22,52.61,56.47,57.36,56.36,46.34,41.64,55.2,54.33,51.81,38.55,46.01,56.1,62.88,47.16,49.56,65.86,72.97,64.97,63.48,56.66
196,Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.04,0.06,0.08,0.71,2.56,4.39,6.48,6.11,7.65,7.61,7.65
203,Czechia,2.76,2.71,3.03,3.74,3.74,3.22,2.89,3.43,3.15,3.3,3.73,2.16,3.05,3.69,3.92,3.01,3.15,4.09,5.14,6.09,6.29,7.17,6.56,7.14,7.11,6.81
208,Denmark,3.07,3.13,2.88,3.35,2.39,4.5,7.02,7.96,11.96,11.53,12.53,12.13,16.38,18.32,13.45,18.32,19,18.54,20.16,27.84,33.85,33.54,42.54,50.99,44.36,50.09
233,Estonia,0.01,0.01,0.03,0.02,0.02,0.03,0.05,0.05,0.06,0.08,0.08,0.19,0.29,0.74,0.92,0.92,1.52,2.59,2.34,3.09,3.98,4.18,5.07,7.14,5.17,5.8
246,Finland,26.18,22.07,17.97,20.2,17.11,17.72,21.48,18.47,21.34,18.07,14.78,11.78,18,20.13,14.46,18,22.99,18.4,16.77,18,25.11,19.52,21.74,28.21,27.86,29.64
251,France,15.77,14.48,17.11,15.52,13.79,13.49,13.04,14.77,13.28,14.4,11.91,11.5,11.49,10.03,11.2,11.96,13.04,13.2,13.82,11.56,14.9,17.11,16.52,15.67,17.18,16.14
276,Germany,4,4.25,4.78,5.21,5.17,4.34,4.65,5.21,6.14,6.45,7.48,7.24,8.85,9.34,9.93,11.44,11.51,12.1,12.52,15.39,16.98,17.75,19.27,22.38,22.32,26.48
300,Greece,6.41,6.74,7.09,9.18,10.67,9.5,8.5,10.06,8.47,6.48,7.53,10.87,10.66,11.46,13.45,8.18,10.03,13.42,18.05,13.8,16.63,24.8,23.95,28.28,26.89,24.55
348,Hungary,0.5,0.5,0.48,0.48,0.59,0.61,0.42,0.48,0.51,0.51,0.54,0.51,0.63,0.59,0.64,0.8,1.05,1.56,1.93,2.36,2.86,3.26,3.67,3.73,3.97,4.29
352,Iceland,99.87,99.89,99.9,99.82,99.9,99.93,99.92,99.93,99.93,99.95,99.93,99.93,99.93,99.9,99.94,99.97,99.99,99.99,99.99,99.99,99.98,99.97,99.98,99.98,99.98,99.99
372,Ireland,6.59,6.26,7.11,5.51,5.19,4.97,6.42,5.8,5.81,5.02,6.56,5.59,6.41,8.04,9.86,10.55,12.27,14.88,12.67,18.73,18.37,21.17,23.5,27.02,23.36,27.05
382,Italy,21.91,21.78,22.2,18.94,20.96,20.39,20.23,21.55,20.59,21.67,18.97,17.69,19.18,17.04,16.87,15.66,18.4,22.76,23.7,24.74,27.56,33.67,37.28,32.35,31.43,29.41
392,Japan,12.48,14.16,10.35,12,11.55,12.31,12.2,11.4,11.3,11.26,10.9,12.31,11.88,10.23,11.29,9.92,9.99,10.32,10.4,11.24,10.79,11.53,12.9,14.63,15.06,16.34
398,Kazakhstan,8.3,9.85,13.82,12.5,12.5,12.5,11.64,12.91,14.59,14.6,15.24,13.5,12.04,11.57,10.84,10.66,9.29,8.74,9.71,9.1,8.23,7.51,7.88,8.87,11.24,11.29
428,Latvia,65.77,73.29,74.44,73.81,59.57,65.58,74.49,67.15,68.25,66.26,62.26,58.21,67.35,68.75,56.1,58.39,60.07,62.97,53.86,48.54,61.96,48.83,41.51,36.27,41.37,60.16
438,Liechtenstein,95.38,95.77,95.52,95.89,94.12,94.03,93.15,93.51,95.06,93.83,93.83,93.22,92.75,92.65,94.03,94.44,94.37,94.37,94.94,94.44,96.51,96.47,95.12,97.14,97.78,97.85
440,Lithuania,2.6,4.23,7.38,5.62,5.41,5.48,5.37,6.81,6.43,5.22,5.19,5.91,5.78,6.91,8.12,9.25,9.75,10.21,30.77,37.08,33.83,41.03,46.46,44.03,58.98,68.38
